# Time(s)	Target_GMPP(W)	M1_Standard_INC(W)	M2_INC_Fuzzy(W)
82.5688	142.53	129.55	142.53
82.6911	142.53	129.55	142.53
82.8135	142.53	129.55	142.53
82.9358	142.53	131.72	142.53
83.0581	142.53	134.60	142.53
83.1804	142.53	136.76	142.65
83.3028	142.53	138.93	142.76
83.4251	142.53	140.37	142.88
83.5474	142.53	141.09	142.88
83.6697	142.53	141.09	142.88
83.7920	142.53	142.53	142.88
83.9144	142.53	141.81	142.78
84.0367	142.53	141.09	142.56
84.1590	142.53	138.93	142.34
84.2813	142.53	137.48	142.12
84.4037	142.53	136.76	142.02
84.5260	142.53	136.04	141.91
84.6483	142.53	135.32	141.81
84.7706	142.53	134.60	141.81
84.8930	142.53	134.60	141.81
